,title,price,link
10,acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,"₹33,319",/acer-extensa-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-ex-215-54-215-54-356v-thin-light-laptop/p/itm04c565616da14?pid=COMGGYEBDUJ4PYS9&lid=LSTCOMGGYEBDUJ4PYS9H9GDDB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGGYEBDUJ4PYS9.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
11,MSI Bravo 15 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 55...,"₹49,990",/msi-bravo-15-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_PH3MYeBhQrj2mqr6m2g8b%2BcVWLukIEwfh9XlEfGONLjkhzFGoguU68bvxMqltmc3eEizpjmTTRqy%2BFMA7M8ucg%3D%3D&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
12,ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹95,990",/asus-rog-strix-g15-ryzen-7-octa-core-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
13,RedmiBook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹29,990",/redmibook-15-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-thin-light-laptop/p/itm302328cdf5e24?pid=COMG4Z35GKZTRDSF&lid=LSTCOMG4Z35GKZTRDSFFNBHAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMG4Z35GKZTRDSF.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
14,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹31,990",/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ff?pid=COMGCYF9EZKKPEWD&lid=LSTCOMGCYF9EZKKPEWDXSSFWJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGCYF9EZKKPEWD.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
15,MSI Crosshair 15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3...,"₹1,16,990",/msi-crosshair-15-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-144-hz-b12uez-677in-gaming-laptop/p/itm54b59189d32e7?pid=COMGEY8WPVXF7QQY&lid=LSTCOMGEY8WPVXF7QQYLWEXUW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=en_PH3MYeBhQrj2mqr6m2g8b%2BcVWLukIEwfh9XlEfGONLhpKfxsVyKLPKBnifTVzTSYGBy67a38PEKJiJBa4NABTQ%3D%3D&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
16,ASUS Vivobook 14 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X415JA-BV301WS Laptop,"₹29,990",/asus-vivobook-14-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv301ws-laptop/p/itmefe89905389cf?pid=COMGHQS9HG9Q5RN3&lid=LSTCOMGHQS9HG9Q5RN3FJRQPR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGHQS9HG9Q5RN3.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
17,ASUS Vivobook 15 Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M515DA-BQ722WS La...,"₹46,990",/asus-vivobook-15-ryzen-7-quad-core-amd-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m515da-bq722ws-laptop/p/itm5c77300ec1eb8?pid=COMGCRFYZF5TK7ZU&lid=LSTCOMGCRFYZF5TK7ZUSWT9I4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGCRFYZF5TK7ZU.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
18,ASUS VivoBook K15 OLED Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L712WS Thi...,"₹69,990",/asus-vivobook-k15-oled-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l712ws-thin-light-laptop/p/itmd737de314823c?pid=COMGB6DZQJHHSESY&lid=LSTCOMGB6DZQJHHSESYC1WZQS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGB6DZQJHHSESY.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
19,Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,"₹32,990",/lenovo-ideapad-1-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15ada7-thin-light-laptop/p/itm3d18297fc081a?pid=COMGFM5BYHQPXCRZ&lid=LSTCOMGFM5BYHQPXCRZHYWG3P&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=en_PH3MYeBhQrj2mqr6m2g8b%2BcVWLukIEwfh9XlEfGONLgil4Jl4qcTYRgJygpRcIjePveAK61FzYfPi12lA%2F53ZQ%3D%3D&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
20,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"₹25,990",/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
21,ASUS Vivobook 14 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X415JA-BV302WS Laptop,"₹29,990",/asus-vivobook-14-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv302ws-laptop/p/itm96433aca49a4c?pid=COMGHQSCQYVHAHVV&lid=LSTCOMGHQSCQYVHAHVVAMWEEO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGHQSCQYVHAHVV.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
22,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"₹40,990",/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14s-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=5bc5b8a0-b80f-44d5-9854-74ee957f0564.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
23,MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹52,990",/msi-gf63-thin-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-11sc-1046in-gaming-laptop/p/itm4b5beacb857d7?pid=COMGGZ23ZZPQYFJA&lid=LSTCOMGGZ23ZZPQYFJAWNHHWX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=en_PH3MYeBhQrj2mqr6m2g8b%2BcVWLukIEwfh9XlEfGONLgE0QC9jbUp7HBHNqommoWXhgC2xIUgleWJpL0tNtpIXw%3D%3D&ppt=None&ppn=None&ssid=5j9g3wg59s0000001663390433109&qH=c06ea84a1e3dc3c6
24,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,"₹38,999",/hp-15s-ryzen-3-dual-core-3250u-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-15s-gr0012au-laptop/p/itm9e1f8deeed35f?pid=COMFZHFWBE7APPH2&lid=LSTCOMFZHFWBE7APPH2PLTTEQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMFZHFWBE7APPH2.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
25,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 300...","₹43,990",/dell-inspiron-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3511-inspiron-3000-thin-light-laptop/p/itmb93d2a1e224d0?pid=COMGAD2B4QMZTWKB&lid=LSTCOMGAD2B4QMZTWKBLSB4SW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMGAD2B4QMZTWKB.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
26,acer Predator Helios 300 Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹1,39,990",/acer-predator-helios-300-core-i9-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-ph315-55-ph315-55-99z6-gaming-laptop/p/itm85043c4f71d4a?pid=COMGHY4DQWWBKZUK&lid=LSTCOMGHY4DQWWBKZUKT8DSUT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMGHY4DQWWBKZUK.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
27,MSI Core i9 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 3080 Ti/120 H...,"₹3,90,990",/msi-core-i9-12th-gen-32-gb-2-tb-ssd-windows-11-home-16-gb-graphics-nvidia-geforce-rtx-3080-ti-120-hz-raider-ge77hx-12uhs-205in-gaming-laptop/p/itm9e5ce41e06c01?pid=COMGGZ23UYB7ZZUU&lid=LSTCOMGGZ23UYB7ZZUU0IYJO2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_quiS9daYjzBX3XGZ5tS2PYsRq9UoGYsYGtYW0B8gAX%2Fm17X9YhVjBui5rBo%2BZjxxwE0G%2FPy5QVYZ9zUNam8UVg%3D%3D&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
28,HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,"₹56,490",/hp-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5111tu-thin-light-laptop/p/itmbecf654716fd5?pid=COMGG63HGDTFCCGW&lid=LSTCOMGG63HGDTFCCGWLETTA9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMGG63HGDTFCCGW.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
29,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,"₹38,490",/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14s-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYQPFKJJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
30,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,"₹42,990",/asus-vivobook-k15-oled-2022-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-k513ea-l302ws-thin-light-laptop/p/itmb768764e55ddd?pid=COMG87FFTTGFCKBS&lid=LSTCOMG87FFTTGFCKBS21FXQR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMG87FFTTGFCKBS.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
31,MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-639IN Notebook,"₹41,990",/msi-modern-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-b10mw-639in-notebook/p/itm9771296f748c4?pid=COMG483F5X8GDQSP&lid=LSTCOMG483F5X8GDQSPM5QHSD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_quiS9daYjzBX3XGZ5tS2PYsRq9UoGYsYGtYW0B8gAX8VygLDl6tgG66tzq6KRbaOzksPsYlVK5VaFZJCORrygg%3D%3D&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
32,ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop,"₹32,890",/asus-vivobook-15-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-x515ja-laptop/p/itm46cefd99c9a5e?pid=COMGHXFZX7SGP39V&lid=LSTCOMGHXFZX7SGP39VK4PLQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMGHXFZX7SGP39V.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
33,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 81WA00Q3IN|81WA00MEIN Thin and L...,"₹33,490",/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-81wa00q3in-81wa00mein-thin-light-laptop/p/itm61227ecaffd8c?pid=COMG72M9TNRKQWQN&lid=LSTCOMG72M9TNRKQWQNFDLVMA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMG72M9TNRKQWQN.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
34,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹47,490",/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itm1eb242c8ec463?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMGBH9JDPVGD8BH.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
35,MSI Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-659IN Thin and Light Laptop,"₹57,990",/msi-core-i7-10th-gen-8-gb-512-gb-ssd-windows-10-home-modern-14-b10mw-659in-thin-light-laptop/p/itmbcbb85feb146e?pid=COMG7GXGMF5QGXGU&lid=LSTCOMG7GXGMF5QGXGUJ3M2IR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=en_quiS9daYjzBX3XGZ5tS2PYsRq9UoGYsYGtYW0B8gAX%2FOEq%2FQY4w5REsVGP9UzWF0Wa6i0ZEHS4ASNGQWH0MyaQ%3D%3D&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
36,Nokia PureBook S14 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) NKi511TL165S Thin and Light L...,"₹35,990",/nokia-purebook-s14-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-nki511tl165s-thin-light-laptop/p/itm14b4c07e2299e?pid=COMG3FAWJKFWGWFZ&lid=LSTCOMG3FAWJKFWGWFZWFYJRE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_37&otracker=search&fm=organic&iid=8a961ed1-14f6-492e-b197-03ad25d4e238.COMG3FAWJKFWGWFZ.SEARCH&ppt=None&ppn=None&ssid=y31g4vbqw00000001663390434046&qH=c06ea84a1e3dc3c6
